Codigo,Título,Quantidades,Autor,Ano,Editora,Edição,ISBN,Categoria
FITO19,Fitoterapia Racional Um guia de fitoterapia para as ciências da saúde,1,"Volker Schulz, Rudolf Hansel, Varro E. Tyler",2002,Manole,4° Ed.,9788520409909,Fitossociologia
FITO20,Farmácias vivas: sistema de utilização de plantas medicinais projetado para pequenas comunidades,1,Francisco José de Abreu Matos,2002,UFC,1° Ed.,9788572820080,Fitossociologia
FITO21,Malezas Comestibles del Cono Sur,,"H. Rapoport, Angel Marzocca & Bárbara S. Drausa",2009,INTA,1° Ed.,-,Fitossociologia
FITO22,Plantes medicinals del Pirineu catalá,1,"Antoni Agelet, Joan Muntané, Montserrat Parada, Joan Vallès",2003,FARELL,2° Ed.,9788495695130,Fitossociologia
FITO23,Avances sobre Plantas Medicinales Andinas,1,Nilda Dora Vignaley e Maria Lelia Pochettino,2009,"Cyted, Risapret",1° Ed.,-,Fitossociologia
FITO24,Medicinal Plants and the Legacy of Richard E. Schultes,1,"Bruce E. Ponman, Rainer Bussmann",2012,William L. Brown Center at the Missouri Botanical Garden,1° Ed.,9780984841523,Fitossociologia
FITO25,Plantas úteis do Nordeste do Brasil,1,S. C. Pereira ,2003,Centro Nordestino de Informações sobre Plantas - CNIP; Associação Plantas do Nordeste-APNE,1° Ed.,-,Fitossociologia
FITO26,Plantas Venenosas e Animais Peçonhetos,1,Samuel Schvartsman,1992,SARVIER,1° Ed.,-,Fitossociologia
FITO27,Insetos de interesse médico e veterinário,1,Messias Carrera,1991,UFPR,1° Ed.,9788585132576,Fitossociologia
FITO28,Plantas dietéticas,1,Julio Alberto Hurrell et al.,2013,LOLA,1° Ed.,,Fitossociologia
FITO29,Plantas Medicinais para Ruminantes,1,"Patrício Marques de Souza, Dermeval Araújo Furtado, Suedney de Lima Silva",2012,epgraf,1º Ed.,97885603070667,Fitossociologia
FITO30,A saúde e a cura pela natureza,1,Edilson Pinto da Silva,2005,Grafica Santa Maria,1° Ed.,-,Fitossociologia
FITO31,Frutas Nativas da Região Centro - Oeste do Brasil,1,"Roberto Fontes Vieira, Tânia da Silveira Agostini-Costa, Dijalma Barbosa da Silva, Sueli Matiko Sano, Francisco Ricardo Ferreira",2010,EMBRAPA,-,,Fitossociologia
FITO32,Farmacopéia Popular do Cerrado,1,Jaqueline Evangelista Dias,2010,Pacari,1° Ed.,9788562918001,Fitossociologia
FITO33,"Etnobotânica, uso e classificação dos vegetais pelo kaingang",,,,,,,Fitossociologia
FITO34,A etnobotânica e os jardins botânicos,,,,,,,Fitossociologia
Id01(1/2),O dicionário de uma só palavra,,,,,,,
LIT01,As Mentiras que os Homens Contam,Literatura,Luis Fernando Verissimo,2015,Objetiva,1° Ed.,9788539007158,Literatura
LIT02,Augusto dos Anjos e sua Epoca,Literatura,Humberto Nobrega,1962,Universidade da Paraiba,1° Ed.,,Literatura
LIT03,Catálogo dos Manuscritos Avulsos da Capitania de Pernambuco: Fontes Documentais Coloniais do Semiárido Brasileiro,Literatura,,,,,,Literatura
LIT04,O livro dos 100 anos: Memorial fotográfico da UFRPE,Literatura,,,,,,Literatura
LIT05,O mundo precisa de filosofia,Literatura,Eduardo Prado de Mendonç,1968,Liv. Agir,1° Ed.,,Literatura
LIT06,O ramo de Ouro,Literatura,,,,,,Literatura
LIT07,"Trajetórias Acadêmicas: diferentes pessoas,diferentes jornadas",Literatura,,,,,,Literatura
MET01,Métodos de pesquisa - Ciência do comportamento e diversidade humana,,Andrea Spata,2005,Livros Técnicos e Científicos,1° Ed.,9788521614340,Metodologia Cientifica
MET02,Metodologias de Pesquisa em Ciências Análises Quantitativa e Qualitativa,,"Makilim Nunes Baptista, Dinael Corrêa de Campos",2007,Livros Técnicos e Científicos,1° Ed.,9788521615453,Metodologia Cientifica
MET03,"Projeto de Pesquisa Métodos qualitativo, quantitativo e misto",1,John W. Creswell,2007,Sage,1° Ed.,9788536323008,Metodologia Cientifica
MET04,O planejamento da pesquisa qualitativa: Teorias e Abordagens,1,"Norman K. Denzin, Yvonna S. Lincoln",2006,Artmed,1° Ed.,9788536306636,Metodologia Cientifica
MET05,Projeto de Pesquisa: Guia para pesquisadores iniciantes em educação saúde e ciências sociais,1,Magda França Lopes,2008,Artmed,1° Ed.,9788536310565,Metodologia Cientifica
MET06(1/3),Currents topics in Ethnobotany,,,,,,,Metodologia Cientifica
MET06(2/3),Currents topics in Ethnobotany,,,,,,,Metodologia Cientifica
MET06(3/3),Currents topics in Ethnobotany,,,,,,,Metodologia Cientifica
MET07(1/2),Como falar em público sobre ciência,1,,2008,Comunigraf/NUPEEA,1° Ed.,,Metodologia Cientifica
MET07(2/2),Como falar em público sobre ciência,1,,2008,Comunigraf/NUPEEA,1° Ed.,,Metodologia Cientifica
MET08(1/2),Conselhos a um Jovem cientista,1,,2011,NUPEEA,1° Ed.,,Metodologia Cientifica
MET08(2/2),Conselhos a um jovem cientista,,,1982,Universidade de Brasília,1° Ed.,,Metodologia Cientifica
MET09(1/9),Guia de campo de árvores da Caatinga,,"Amanda Pricila Batista Santos, Maria de Fátima da Silva Nascimento, José Alves Siqueira Filho, Fábio da Silva do Espírito Santo",2009,Ed. e gráfica Franciscana Ltda,1° Ed.,9788560849192,Metodologia Cientifica
MET09(2/9),Guia de campo de árvores da Caatinga,,"Amanda Pricila Batista Santos, Maria de Fátima da Silva Nascimento, José Alves Siqueira Filho, Fábio da Silva do Espírito Santo",2009,Ed. e gráfica Franciscana Ltda,1° Ed.,9788560849192,Metodologia Cientifica
MET09(3/9),Guia de campo de árvores da Caatinga,,"Amanda Pricila Batista Santos, Maria de Fátima da Silva Nascimento, José Alves Siqueira Filho, Fábio da Silva do Espírito Santo",2009,Ed. e gráfica Franciscana Ltda,1° Ed.,9788560849192,Metodologia Cientifica
MET09(4/9),Guia de campo de árvores da Caatinga,,"Amanda Pricila Batista Santos, Maria de Fátima da Silva Nascimento, José Alves Siqueira Filho, Fábio da Silva do Espírito Santo",2009,Ed. e gráfica Franciscana Ltda,1° Ed.,9788560849192,Metodologia Cientifica
MET09(5/9),Guia de campo de árvores da Caatinga,,"Amanda Pricila Batista Santos, Maria de Fátima da Silva Nascimento, José Alves Siqueira Filho, Fábio da Silva do Espírito Santo",2009,Ed. e gráfica Franciscana Ltda,1° Ed.,9788560849192,Metodologia Cientifica
MET09(6/9),Guia de campo de árvores da Caatinga,,"Amanda Pricila Batista Santos, Maria de Fátima da Silva Nascimento, José Alves Siqueira Filho, Fábio da Silva do Espírito Santo",2009,Ed. e gráfica Franciscana Ltda,1° Ed.,9788560849192,Metodologia Cientifica
MET09(7/9),Guia de campo de árvores da Caatinga,,"Amanda Pricila Batista Santos, Maria de Fátima da Silva Nascimento, José Alves Siqueira Filho, Fábio da Silva do Espírito Santo",2009,Ed. e gráfica Franciscana Ltda,1° Ed.,9788560849192,Metodologia Cientifica
MET09(8/9),Guia de campo de árvores da Caatinga,,"Amanda Pricila Batista Santos, Maria de Fátima da Silva Nascimento, José Alves Siqueira Filho, Fábio da Silva do Espírito Santo",2009,Ed. e gráfica Franciscana Ltda,1° Ed.,9788560849192,Metodologia Cientifica
MET09(9/9),Guia de campo de árvores da Caatinga,,"Amanda Pricila Batista Santos, Maria de Fátima da Silva Nascimento, José Alves Siqueira Filho, Fábio da Silva do Espírito Santo",2009,Ed. e gráfica Franciscana Ltda,1° Ed.,9788560849192,Metodologia Cientifica
MET10,Manual de padronização de textos,1,,1999,Brasília,1° Ed.,,Metodologia Cientifica
MET11,Como se faz uma tese,,,1992,Perspectiva,1° Ed.,,Metodologia Cientifica
MET12(1/2),Anatomia de um Artigo,1,"Antonio Souto",2007,UFPE,1° Ed.,9788573154184,Metodologia Cientifica
MET12(2/2),Anatomia de um Artigo,1,"Antonio Souto",2007,UFPE,1° Ed.,9788573154184,Metodologia Cientifica
MET13,Redação de textos científicos,1,Vera Cristina Feitosa,1991,Papirus,1° Ed.,9788530801762,Metodologia Cientifica
MET14,Pesquisa Científica - Critérios Epistemológicos,1,Jose Carlos Koche,2005,Vozes,1° Ed.,9788532631312,Metodologia Cientifica
MET15(1/4),Métodos e técnicas na pesquisa etnobotânica,1," Ulysses Paulino Albuquerque, Reinaldo Farias Paiva de Lucena, Luiz Vital F.C. Cunha",2004,NUPEEA,1° Ed.,-,Metodologia Cientifica
MET15(2/4),Métodos e técnicas na pesquisa etnobotânica,1," Ulysses Paulino Albuquerque, Reinaldo Farias Paiva de Lucena, Luiz Vital F.C. Cunha",2004,NUPEEA,1° Ed.,-,Metodologia Cientifica
MET15(3/4),Métodos e técnicas na pesquisa etnobotânica,1," Ulysses Paulino Albuquerque, Reinaldo Farias Paiva de Lucena, Luiz Vital F.C. Cunha",2004,NUPEEA,1° Ed.,-,Metodologia Cientifica
MET15(4/4),Métodos e técnicas na pesquisa etnobotânica,1," Ulysses Paulino Albuquerque, Reinaldo Farias Paiva de Lucena, Luiz Vital F.C. Cunha",2004,NUPEEA,1° Ed.,-,Metodologia Cientifica
MET16(1/2),Caminhos da Ciência,1,,,UFRPE,1° Ed.,,Metodologia Cientifica
MET16(2/2),Caminhos da Ciência,1,,,UFRPE,1° Ed.,,Metodologia Cientifica
MET17,Anatomia de um Artigo,1,"Antonio Souto",2007,UFPE,1° Ed.,9788573154184,Metodologia Cientifica
MET18,Science on trial,1,,1669,,1° Ed.,,Metodologia Cientifica
MET19,Grupos focais,1,Rosaline Barbour,2009,Bookman/Artmed,1° Ed.,9788536321455,Metodologia Cientifica
MET20,Etnografia e observação participante: Coleção Pesquisa Qualitativa,1,Michael Angrosino,2009,Bookman/Artmed,1° Ed.,9788536321387,Metodologia Cientifica
MET21,Análise de dados qualitativos,1,,2009,Bookman/Artmed,1° Ed.,,Metodologia Cientifica
MET22,Qualidade na pesquisa qualitativa: Coleção Pesquisa Qualitativa,1,Uwe Flick,2009,Bookman/Artmed,1° Ed.,9788536321363,Metodologia Cientifica
MET23,Dados visuais para pesquisa qualitativa: Coleção Pesquisa Qualitativa,1,Marcus Banks,2009,Bookman/Artmed,1° Ed.,9788536321349,Metodologia Cientifica
MET24,Projeto de Pesquisa: Propostas Metodológicas,,,,,,,Metodologia Cientifica
MET25,"Um livro bom, pequeno e acessível sobre pesquisa qualitativa",1,David Silverman,2010,Bookman,1° Ed.,9788577806478,Metodologia Cientifica
MET26,Investigação Qualitativa Fundamentos e Práticas,1,,2005,,1° Ed.,,Metodologia Cientifica
MET27,Investigação por questionário,,,2005,Sílabo,1° Ed.,,Metodologia Cientifica
MET28,Complexidade e pesquisa interdisciplinar,1,,2007,Vozes,1° Ed.,,Metodologia Cientifica
MET29,Uma introdução à Pesquisa Qualitativa,,Uwe Flick,2004,Bookman,1° Ed.,9788536304144,Metodologia Cientifica
MET30,Delineando a pesquisa clínica - Uma abordagem epidemiológica,1,,2003,artmed,1° Ed.,,Metodologia Cientifica
MET31,"Análise de dados qualitativos Estratégias Metológicas para as Ciências da Saúde, Humanas e Sociais",1,,2001,EDUSP/ FAPESP,1° Ed.,,Metodologia Cientifica
MET32,Just the facts101 - Textbook key Facts - Ethnobiology,1,,,,1° Ed.,,Metodologia Cientifica
MET33,Métodos qualitativos nas ciências sociais e na prática social,1,,2007,UFPE,1° Ed.,9788573153989,Metodologia Cientifica
MET34,Metodologia participativa: uma introdução a 29 instrumentos,1,Markus Brose,2001,Participe,1° Ed.,9788586225239,Metodologia Cientifica
MET35,Pesquisa participante,,,1990,Brasiliense,1° Ed.,,Metodologia Cientifica
MET36,Participant observation A guide for fieldworkers,,"Kathleen M. DeWalt, Billie R. DeWalt",2011,Altamira,1° Ed.,9780759119277,Metodologia Cientifica
MET37,Pesquisa social - Métodos e Técnicas,1,"Roberto Jarry Richardson, José Augusto de Sousa Peres",1999,Atlas,1° Ed.,9788522421114,Metodologia Cientifica
MET38,O método em sociologia o que é e como faz,1,,2001,Loyola,1° Ed.,,Metodologia Cientifica
MET39,Estatística para as ciências agrárias e biológicas com noções de experimentação,1,"Dalton Francisco de Andrade, Paulo José Ogliari",2010,UFSC,1° Ed.,9788532803740,Metodologia Cientifica
MET40,Intuitive biostatistics A nonmathematical guide to statistical thinking,,Harvey Motulsky,2018,OXFORD,1° Ed.,9780190643560,Metodologia Cientifica
MET41,Introdução à bioestatística,1,,1985,Campus ltda,1° Ed.,,Metodologia Cientifica
MET42,English for writing research papers,1,Adrian Wallwork,2016,Springer,1° Ed.,9783319260945,Metodologia Cientifica
MET43,Research Synthesis and Meta-Analysis: A Step-by-Step Approach,,,2010,,1° Ed.,,Metodologia Cientifica
MET44,BioEstat 5.0 Aplicações Estatística nas áreas das ciências biológicas,1,M. Ayres,2007,Sociedade Civil Mamirauá,1° Ed.,-,Metodologia Cientifica
MET45,Fitossociologia no Brasil - Métodos e estudos de caso,1,Jeanine Maria Felfili,2011,UFV,1° Ed.,9788572694063,Metodologia Cientifica
MET46,As cinco maiores ideias da ciência,1,,2002,Prestígio,1° Ed.,,Metodologia Cientifica
MET47,A ciência em ação,1,,1994,Papirus,1° Ed.,,Metodologia Cientifica
MET48,Ciência consciência,1,Edgar Morin,2010,Bertrand Brasil,1° Ed.,9788528605792,Metodologia Cientifica
MET49(1/2),"Métodos de Coleta e Análise de dados em Etnobiologia, Etnoecologia e Disciplinas Correlatas",1,"1. SEMINÁRIO DE ETNOBIOLOGIA E ETNOECOLOGIA DO SUDESTE (2002, Rio Claro)",2002,UNESP,1° Ed.,-,Metodologia Cientifica
MET49(2/2),"Métodos de coleta e análise de dados em Etnobiologia, Etnoecologia e Disciplinas Correlatas",1,"1. SEMINÁRIO DE ETNOBIOLOGIA E ETNOECOLOGIA DO SUDESTE (2002, Rio Claro)",2002,UNESP,1° Ed.,-,Metodologia Cientifica
MET50,A manual of ethnobotany,1,S.K. Jain,2004,JODHPUR,1° Ed.,9788172333638,Metodologia Cientifica
MET51,Ethnography,1,,2010,,1° Ed.,,Metodologia Cientifica
MET52,Evaluando la consecha oculta de los bosques,1,"Bruce Campbell, Martin K. Luckert",2003,Fondo Mundial para la Naturaleza,1° Ed.,9789974421011,Metodologia Cientifica
MET53,Manual de redação científica,1,,2011,NUPEEA,1° Ed.,,Metodologia Cientifica
MET54,Fundamentos de Metodologia Científica,1,,1991,atlas,1° Ed.,,Metodologia Cientifica
MET55,Métodos de Pesquisa nos Estudos Pessoa-Ambiente,1,"José de Queiroz Pinheiro, Hartmut Günther",2008,Casa do Psicólogo,1° Ed.,9788573965742,Metodologia Cientifica
MET56,Métodos de estudos em Biologia da Conservação e Manejo da Vida Silvestre,1,Laury Cullen,2004,UFPR,1° Ed.,9788573351149,Metodologia Cientifica
MET57,"Research desing Qualitative, quantitative, and mixed methods Approaches",1,"John W. Creswell, J. David Creswel",2009,SAGE,1° Ed.,9781506386706,Metodologia Cientifica
MET58,Systematic data collection,1,"Susan C. Weller, A. Kimball Romney",1988,SAGE Publications,1° Ed.,9780803930742,Metodologia Cientifica
MET59,An introduction to scientific research,1,,1990,,1° Ed.,,Metodologia Cientifica
MET60,On being A scientist A guide to responsible conduct in research,,,2010,,1° Ed.,,Metodologia Cientifica
MET61,A ph.D. Is not Enough Guide to survival in science,1,Peter J. Feibelman,1993,Basic Books,1° Ed.,9780201627176,Metodologia Cientifica
MET62,Modelling for field biologists and other interesting people,1,Cambridge University Press,2007,Cambridge,1° Ed.,9780521538565,Metodologia Cientifica
MET63,What they didn't teach you in graduate school ,1,,,Stylus,1° Ed.,,Metodologia Cientifica
MET64,Manual de Antropologia Cultural,1,Ángel-B. Espina Barrio,2005,Massangana,1° Ed.,9798570194311,Metodologia Cientifica
MET65,"Técnicas de coleta, preservação e herborização de material botânico",,"Oswaldo Fidalgo, São Paulo (Brazil : State). Instituto de Botânica, Vera Lúcia Ramos Bononi",1989,"Governo do Estado de São Paulo, Secretaria do Meio Ambiente, Instituto de Botânica",1° Ed.,9788585131074,Metodologia Cientifica
MET66,"Manual de coleta, conservação, montagem e identificação de insetos",1,,1998,Holos,1° Ed.,,Metodologia Cientifica
MET67,Manual de arborização urbana,1,,2010,eduepb,1° Ed.,,Metodologia Cientifica
MET68,Manual de etnozoología: una guía teórico-práctica para investigar la interconexión del ser humano con los animales,1,"Eraldo Medeiros Costa Neto, Dídac Santos Fita, Mauricio Vargas Clavijo",2009,Tundra,1° Ed.,9788461355518,Metodologia Cientifica
MET69,Ensino de botânica e ecologia - Proposta metodológica,1,"Antonio Batista Pereira, Jair Putzke",1996,Sagra-Luzzato,1° Ed.,9788524105180,Metodologia Cientifica
MET70,Prática de ensino de biologia,1,,1996,HARBRA,1° Ed.,,Metodologia Cientifica
MET71,Métodos e técnicas na pesquisa etnobiológica e etnoecológica,,"Ulysses Paulino de Albuquerque, Reinaldo Farias Paiva de Lucena, Luiz Vital Fernandes Cruz Cunha",2010,NUPPEA,1º Ed.,9788563756015,Metodologia Cientifica
MET72,Research Methods in Anthropology,1,,,,1° Ed.,,Metodologia Cientifica
MET73,"PROTOCOLOS EM PSICOFARMACOLOGIA COMPORTAMENTAL Um guia para pesquisa de drogas com ação sobre o SNC, com ênfase nas plantas medicinais",1,,2011,FAP-UNIFESP,1° Ed.,,Metodologia Cientifica
MET74,Princípios de estatística em Ecologia ,1,"Nicholas J. Gotelli, Aaron M. Ellison",2011,ARTMED,1° Ed.,9788536324692,Metodologia Cientifica
MET75,Cultural uses of plants - A guide to learning about ethnobotany,1,,,,1° Ed.,,Metodologia Cientifica
MET76,Plantas Medicinais: Arte e Ciência Um guia de estudo interdisciplinar,1,Luiz Claudio di Stasi,1996,UNESP,1° Ed.,9788571391178,Metodologia Cientifica
MET77,Como escrever artigos cientificos sem arrodeio e sem medo da ABNT,Como Fazer Sua Pesquisa,,,,,,Metodologia Cientifica
MET78,Como fazer sua pesquisa ,Como escrever artigos cientificos sem arrodeio e sem medo da ABNT,,,,,,Metodologia Cientifica
MET79,De Marte a Narciso: (Sobre)vivencias em  Dissertações de Mestrado,Dicionario: Oxford Escolar para estudantes brasileiros de inglês,,,,,,Metodologia Cientifica
MET80,Dicionario: Oxford Escolar para estudantes brasileiros de inglês,Estudos de casos no Treinamento de Executivos,,,,,,Metodologia Cientifica
MET81,Estudos de casos no Treinamento de Executivos,Futureo: Um método fundamentado e convidatico para sonhar nosso futuro coletivo,,,,,,Metodologia Cientifica
MET82,Futureo: Um método fundamentado e convidatico para sonhar nosso futuro coletivo,Gran Diccionario: Español - Portugués; Espanhol - Português,,,,,,Metodologia Cientifica
MET83,Gran Diccionario: Español - Portugués; Espanhol - Português,Introdução ao Projeto de Pesquisa Cientifica ,,,,,,Metodologia Cientifica
MET84,Introdução ao Projeto de Pesquisa Cientifica ,Melhoramentos - Dicionário Prático da Língua Portuguesa,,,,,,Metodologia Cientifica
MET85,Melhoramentos - Dicionário Prático da Língua Portuguesa,Metodologias Qualitativas Na Sociologia,,,,,,Metodologia Cientifica
MET86,Metodologias Qualitativas Na Sociologia,Mini-aurélio Escolar: O minidicionário da língua portuguesa,,,,,,Metodologia Cientifica
MET87,Mini-aurélio Escolar: O minidicionário da língua portuguesa,Novo Websters: Dicionário Universitário,,,,,,Metodologia Cientifica
MET88,Novo Websters: Dicionário Universitário,O Método de Estudo de Caso Aplicado à Gestão de Negócios,,,,,,Metodologia Cientifica
MET89,O Método de Estudo de Caso Aplicado à Gestão de Negócios,O que você precisa saber sobre ciencia para não passar vergonha,,,,,,Metodologia Cientifica
MET90,O que você precisa saber sobre ciencia para não passar vergonha,Projeto de Pesquisa: Propostas Metodológicas,,,,,,Metodologia Cientifica
MET91,Projeto de Pesquisa: Propostas Metodológicas,,,,,,,Metodologia Cientifica
Teco01,Resilience Practice: Building Capacity to Absorb Disturbance and Maintain Function,,"Brian Walker, David Salt",1940,Island Press,1° Ed.,9781610912310,TECO
Teco02,Resilience thinking,,,,,,,TECO
Teco03,Foraging Theory,,,1955,,1° Ed.,,TECO
Teco04,The Complete Idiot's Guide to Game Theory: The Fascinating Math Behind Decision-Making,,"Edward C. Rosenthal, Ph.D.",2011,Dorling Kindersley Limited,1° Ed.,9780241884515,TECO
Teco05,Evolutionary Game Theory,,,,,,,TECO
Teco06,"Evolutionary Game Theory, Natural Selection, and Darwinian Dynamics",,"Thomas L. Vincent, Joel S. Brown",2005,Cambridge University Press,1° Ed.,9781139444293,TECO
Teco07,Teoria dos Jogos: Com aplicações em economia. administração e ciências Sociais,,,1998,,2° Ed.,,TECO
Teco08,Games and Decisions: Introduction and Critical Survey,,"Robert Duncan Luce, Howard Raiffa",1957,Wiley,1° Ed.,-,TECO
Teco09,"Rock, Paper, Scissors: Game Theory in Everyday Life",,Len Fisher,2008,Basic Books,1° Ed.,9780786726936,TECO
Teco10,Evolution and the Theory of Games,,John Maynard Smith,1982,Cambridge University Press,2° Ed.,9780521288842,TECO
Teco11,Game Theory,,,1983,,1° Ed.,,TECO
Teco12,Antropologi Cultural,,,1982,,15° Ed.,,TECO
Teco13,Ecologia Humana: Realidade e Pesquisa,,Maria José Araújo Lima,1984,Vozes,1° Ed.,-,TECO
Teco14,Ecologia Humana: Da visao acadêmica aos temas atuais,,Ronaldo Gomes Alvim,2012,EDUFAL,1° Ed.,9788571777156,TECO
Teco15,Filosofia da Ciência,,,2000,,2° Ed.,,TECO
Teco16,Game Theory: A Very Short Introduction,,Ken Binmore,2007,OUP Oxford,1° Ed.,9780199218462,TECO
Teco17,Advances in Historical Ecology,,William L. Balée,1893,"Columbia University Press",1° Ed.,9780231533577,TECO
Teco18,The Triumph of Sociobiology ,,John Alcock,2001,Oxford University Press,1° Ed.,9780195143836,TECO
Teco19,Etnobiologia e etnoecologia: Pessoas & Natureza na America Latina,," Valdeline Silva, Alyson Luiz Santos de Almeida, Ulysses Paulino Albuquerque",2010,NUPEEA,1° Ed.,-,TECO
Teco20,Human Ecology: Basic concepts for Sustainable Development,,,2004,,1° Ed.,,TECO
Teco21,New Directions in Anthropology & Environment: Intersections,,Carole L. Crumley,2001,AltaMira Press,1° Ed.,9780585382593,TECO
Teco22,"The Environment in Anthropology: A reader in Ecology, Culture, and Sustainable Living",,"Allison Harnish, Nora Haenn, Richard Wil",2006,NYU Press,1° Ed.,9781479876761,TECO
Teco23,Ecologia Humana,,,1999,,1° Ed.,,TECO
Teco24,"O macaco, a áfrica e o homem",,Yves COPPENS,1983,Yves COPPENS,1° Ed.,-,TECO
Teco25,Cultural Ecology,,Robert McC. Netting,1986,Waveland Press,2° Ed.,9780881332049,TECO
Teco26,Understanding Urban Ecosystems,,,1999,,8° Ed.,,TECO
Teco27,Medical Anthropology: A Biocultural Approach,,"Andrea S. Wiley, John Scott Allen",2009,Oxford University Press,1° Ed.,9780195308822,TECO
Teco28,Historical Ecology: Cultural Knowledge and Changing Landscapes,,Carole L. Crumley,1993,School of American Research Press,1° Ed.,9780933452855,TECO
Teco29,Aprender Antropologia,,,1991,,4° Ed.,,TECO
Teco30,Human Ecology: A theoretical Essay,,Amos H. Hawley,1986,University of Chicago Press,1° Ed.,9780226319841,TECO
Teco31,Introdução aos estudos Etno Antropológicos,,Bernardo Bernardi,1974,Edições 70,1° Ed.,9789724404028,TECO
Teco32,Advances in Urban Ecology: Integrating Humans and Ecological Processes in Urban Ecosystems,,marina Alberti,2009,Springer US,1° Ed.,9780387755106,TECO
Teco33,"On Biocultural Diversity: linking language, knowledge and the environment",,Luisa Maffi,2001,Smithsonian,1° Ed.,9781437974836,TECO
Teco34,Antropologia Ecológica: um olhar materialista sobre as sociedades humanas,,Walter A. Neves,1996,Cortez,59° Ed.,9788524906213,TECO
,Tradiciones & transformaciones en Etnobotánica,,,2010,,1° Ed. ,,Etnobiologia
,Traveling Cultures and Plants - The ethnobiology and ethnopharmacy of human migrations,,"Andrea Pieroni, Ina Vandebroek",2007,Berghahn Books,1° Ed. ,9781845456795,Etnobiologia
Id02 (2/2),Introdução à ecologia,,Ecologia,,,,,Ec
Id03,Introdução à ecologia,,Ecologia,,,,,
Id04,Ecologia,,Ecologia,,,,,
Id05 (1/2),Etnobiologia - Bases ecológicas e evolutivas,,Etnobiologia,,,,,
Id05 (2/2),Etnobiologia - Bases ecológicas e evolutivas,,Etnobiologia,,,,,
Id06,Desenho da pesquisa qualitativa,,MET,,,,,
Id07,Métodos de pesquisas de Survey,,MET,,,,,
Id08,Botânica geral,,Botãnica,,,,,
Id09,Botânica - Introdução à taxonomia vegetal,,Botãnica,,,,,
Id10,Compendio de botânica,,Botãnica,,,,,
Id11,Glossário ilustrado de botânica,,Botãnica,,,,,
Id12,Botânica organografia,,Botãnica,,,,,
Id13,Paleobotânica,,Botãnica,,,,,
Id14,A arte de pesquisar ,,MET,,,,,
Id15,Introdução à botânica,,Botãnica,,,,,
Id16,Ervas & plantas - seu uso mágico e simbolismo astrológico,,Etnobiologia,,,,,
Id17 (1/2),"Repertorio de especialistas en la ""Africanía""",,Diversos,,,,,
Id18 (2/2),"Repertorio de especialistas en la ""Africanía""",,Diversos,,,,,
Id19,O mnivore's Dilemma,,Diversos,,,,,
Id20,Eating and Healing,,Etnobiologia,,,,,
Id21,McGraw-Hill Series In Forest Resources,,Botanica,,,,,
Id22,Catálogo de plantas e fungos do brasil,,Botanica,,,,,
Id23 (1/2),Plantas úteis e medicinais,,Etnobiologia,,,,,
Id23 (2/2),Plantas úteis e medicinais,,Etnobiologia,,,,,
Id24,Nossa história evolutiva,,Etnobiologia,,,,,
Id25,Agroecology and small farm development,,Etnobiologia,,,,,
Id26,Comunicações Técnicas Florestais - Levantamento Ecológico Rápido,,Ciências Ambioentais,,,,,
Id27,Áreas prioritárias para a conservação e uso sustentável da Flora Brasileira ameaçada de extinção,,Etnobiologia,,,,,
Id28,Fundamentos Psicológicos da Educação,,Diversos,,,,,
Id29,Cadernos didáticos: Taxonomia de Angiosperma (Curso Prático),,Botanica,,,,,
Id30,Catálagos dos manuscritos avulsos das capitanias do Rio Grande do Norte e Ceará,,Ciências Ambioentais,,,,,
Id31,Expansion del cultivo de la caña de azucar y de la ganaderia en el nordeste del Brasil,,Diversos,,,,,
Id32,Geo História a evolução global da terra,,Ciências Ambioentais,,,,,
Id33,Multi-Variate Statatitical Package version 3.0,,MET,,,,,
Id34,O discurso do sujeito coletivo,,MET,,,,,
Id35,O papel do gênero no conhecimento das plantas medicinais e na resiliência de sistemas locais,,Etnobiologia,,,,,
Id36,Conhecimento e utilização de mamíferos por duas comunidades em uma área de proteção ambiental (APA/ARARIPE): Uma abordagem etnomastozoológica,,Etnobiologia,,,,,
Id37,Análises Ecológicas no R,,Met,,,,,
