Codigo,Título,Quantidades,Autor,Ano,Editora,Edição,ISBN,Categoria
Eco08,Fundamentos em Ecologia,,Ricardo Motta Pinto-Coelho,2000,Artmed Editora,1° Ed.,9788536310978,Ecologia
Eco09,Ecología - Estudio de lá Distribucion y la Abundancia,,Charles J. Krbs,1985,Oxford University Press,2° Ed.,9789686034530,Ecologia
Eco10,"Cerrado, em Busca de Soluções Sustentáveis",Ecologia,"Geraldo Wilson Fernandes, Fernando Pedroni, Maryland Sanchez",2016,-,-,9788563100092,Ecologia
Eco11(1/1),Ecologia,,Hermann Remmert,,,,,Ecologia
Eco11(2/2),Ecologia,,Nicholas J. Gotelli,2007,Ed. Planta,1° Ed.,9788599144046,Ecologia
Eco12,Ciencia & Trópico,Ecologia,-,1994,Editora Massangana,,,Ecologia
Eco13,Introdução a ecologia das águas doces,,Ayrton Costa,1991,Imprensa Universitária,1° Ed.,-,Ecologia
Eco14,Ecologia a ciencia da sobrevivencia,,Laurnce Pingle,1977,Biblioteca do Exercito,1° Ed.,-,Ecologia
Eco15(1/2),Introdução á Ecologia,,,1981,,1° Ed.,,Ecologia
Eco15(2/2),Introdução á Ecologia,,,1981,,1° Ed.,,Ecologia
Eco16(1/2),Sacred Ecology,,Fikret Berkes,2008,Routledge,1° Ed.,9781136341731,Ecologia
Eco16(2/2),Sacred Ecology,,Fikret Berkes,2008,Routledge,1° Ed.,9781136341731,Ecologia
Eco17,Ecologia de Caatinga - Curso de Campo 2009,,Inara Roberta Leal,2009,UFPE,1° Ed.,-,Ecologia
Eco18,Ecologia da Caatinga - Curso de Campo 2010,,"Inara Roberta Leal, Walkiria Rejane de Almeida, Antõnio Venceslau de Aguiar Neto",2010,-,1° Ed.,9788563577108,Ecologia
Eco19,Ecologia de Paisajes - Teoria y Aplicacion,,"Zeev Naveh, Arthur S. Lieberman",2001,"Editorial Facultad de Agronomía, Universidad de Buenos Aires",1° Ed.,9789502906768,Ecologia
Eco20,Ecologia da Caatinga - Curso de Campo 2011,,Inara Roberta Leal,2011,,1° Ed.,9788563577115,Ecologia
Eco21,Ecologia do Cerrado,,"Robert J. A. Goodland, Mário Guimarães Ferri",1979,Livraria Itatiaia Editora,1° Ed.,-,Ecologia
Eco22(1/2),"Reservatórios do Nordeste do Brasil: Biodiversidade, Ecologia e Manejo",,Ariadne do Nascimento Moura,2010,Núcleo de Publicações em Ecologia e Etnobotânica Aplicada,1° Ed.,9788579170782,Ecologia
Eco22(2/2),"Reservatórios do Nordeste do Brasil: Biodiversidade, Ecologia e Manejo",,Ariadne do Nascimento Moura,2010,Núcleo de Publicações em Ecologia e Etnobotânica Aplicada,1° Ed.,9788579170782,Ecologia
Eco23,Tropical Forest Ecology: A View from Barro Colorado Island,,Egbert Giles Leigh,1999,Oxford University Press,1° Ed.,9780195357264,Ecologia
Eco24,Diversidade biológica e conservação da floresta atlântica ao norte do Rio São Francisco,,"Kátia Cavalcanti Pôrto, Jarcilene S. de Almeida-Cortez",2006,Ministério do Meio Ambiente,1° Ed.,9788587166807,Ecologia
Eco25,Ecologia e Historia Natural da Mata Atlantica,,Athayde Tonhasca Jr.,2005,Editora Interciência,1° Ed.,9788571931305,Ecologia
Eco26,"Brejos de Altitude em Pernambuco Paraíba: história natural, ecologia e conservação",,"Jaime Joaquim Pereira Cabral, Marcelo Tabarelli",2004,Ministério do Meio Ambiente,1° Ed.,9788587166654,Ecologia
Eco27,A biodiversidade da Estação Ecologica do Tapacurá,,"Geraldo Jorge Barbosa de Moura, Severino Mendes de Azevedo Júnior, Ana Carla Asfora El-Deir",2012,NUPEEA,1° Ed.,,Ecologia
Eco28,Arquipelago de São Paulo e São Paulo: histórico e recursos naturais,,"Teodoro Vaske Júnior, Rosangela Paula Lessa, Marcelo Francisco de Nóbrega, Fernanda Maria Duarte do Amaral, Susan Roberta Mello O'Brien, Francisco de Assis Pereira da Costa",2010,Núcleo de Audiovisual e Multimeios,1° Ed.,8575635158,Ecologia
Eco29,Ecologia de pescadores da Mata Atlântica e da Amazônia,,Alpina Begossi,2004,Editora Hucitec,1° Ed.,9788527106245,Ecologia
Eco30,Solos das Regiões Tropicais,,Octavio Freire,2006,Fundacao de estudos e pesquisas agricolas e florestai,1° Ed.,9788598187037,Ecologia
Eco31,Seres Vivos e Ambiente,,Norma M. Cleffi,1994,Harbra,1° Ed.,-,Ecologia
Eco32,Serra de Macaé de Cima: Diversidade Floristica e Conservação em Mata Atlantica,,Horoldo Cavalcante de Lima,1997,Jardim Botânico,1° Ed.,-,Ecologia
Eco33,Recursos Naturais e Meio Ambiente: uma visão do Brasil,,Simon Schwartzman,1997,IBGE,2° Ed.,9788524006043,Ecologia
Eco34,A ecologia de cada dia - Educação Ambiental ,,Cléo Toledo,1991,Saraiva,2° Ed.,-,Ecologia
Eco35,Macroecología,,James H. Brown,2003,Fondo de Cultura Económica,1° Ed.,9789681663414,Ecologia
Eco36,Introdução á Ecologia Comportamental,,"J. R. Krebs, N. B. Davies, Mauro Ramalho, Cynthia Pinheiro Machado",1966,Atheneu Editora,1° Ed.,-,Ecologia
Eco37,Conhecendo as áreas úmidas amazônicas: uma viagem pelas várzeas e igapós,Ecologia,"Aline Lopes, Maria Teresa Fernandez Piedade",2015,Editora INPA,-,9788521101352,Ecologia
Eco38,Ecologia da Caatinga: Curso de Campo 2013,Ecologia,"Júlia Sfair, Tatiane Calaça, Talita Câmara, José Ribeiro Neto, Felipe Melo, Inara, Leal, Marcelo Tabarelli",2015,Livrinho de papel finíssimo editora,1º Ed.,-,Ecologia
Eco39,Estudo Fitogeográfico do Brasil,Ecologia,"Afrânio Fernandes, Prisco Bezerra",1990,-,-,-,Ecologia
Eco40,Indicadores de Desertificação: histórico e perspectivas,Ecologia,Heitor Matallo Júnior,2001,Unesco,1° Ed.,,Ecologia
Eco41,The International Forestry Review - Global dry forest,Ecologia,T.C.H. Sunderland,2015,Commonwealth Forestry,1° Ed.,,Ecologia
Eco42,"Investigacion, conservación y manejo de vicuñas",Ecologia,Bibiana Vilá,2006,Bibiana Vilá,1° Ed.,,Ecologia
Eco43,,Ecologia,,,,,,Ecologia
Eco44,Manejo ambiental e restauração de áreas degradadas,Ecologia,Fundação Cargill,2007,-,-,9788574670140,Ecologia
Eco45,Novas visões sobre mudança ambiental: abordagens participativas do monitoramento,Ecologia,Joanne Abbot e Irene Guijt,1999,AS-PTA,1° Ed.,,Ecologia
Eco46,O Meio Ambiente em Debate,Ecologia,Samuel Murgel Branco,1988,Editora Moderna ,12º Ed.,,Ecologia
Eco47,Os Campos do Sul,Ecologia,"Valério de Patta Pillar, Omara Lange",2015,UFRGS,1° Ed.,-,Ecologia
Eco48,Pesquisas em Unidades de Conservação no Dominio da Caatinga - Subsidios à Gestao,Ecologia,Waldir Mantovani et al,2017,ABEU,1° Ed.,-,Ecologia
Eco49,Plantas Venenosas e Animais Peçonhentos,Ecologia,Samuel Schvartsman,1992,Sarvier,2º Ed.,,Ecologia
